"","School","W","L","RPI","SOS Rank","SOS","url.name","ngames","LRMC.score"
"621","Western Michigan",2,3,"0.5203","218","0.4756","western-michigan",34,0.00312394596432528
"70","Charlotte",4,2,"0.5586","104","0.5312","charlotte",33,0.00312082094766728
"321","Pacific",3,3,"0.5394","137","0.5038","pacific",32,0.00311634044909418
"2610","Florida Gulf Coast",5,1,"0.5444","211","0.4784","florida-gulf-coast",32,0.0031163154380856
"101","Northwestern",19,18,"0.5011","66","0.5521","northwestern",32,0.00311000037309556
"661","College of Charleston",7,11,"0.5193","258","0.4612","college-of-charleston",34,0.00309284477643535
"1210","Air Force",21,4,"0.5532","55","0.5556","air-force",30,0.00308698194047148
"810","North Dakota State",5,11,"0.5555","183","0.4865","north-dakota-state",29,0.00308664905523318
"671","Vermont",4,2,"0.5192","230","0.4722","vermont",33,0.00306956224176448
"68","Stephen F. Austin",6,6,"0.5596","299","0.4489","stephen-f-austin",28,0.00306324971737851
"561","Niagara",2,4,"0.5229","150","0.4986","niagara",33,0.00305820679655077
"95","Utah",19,17,"0.5081","67","0.5515","utah",31,0.00303957891441043
"79","Rider",1,13,"0.5125","168","0.4923","rider",34,0.00303237310018015
"88","South Florida",18,18,"0.5101","28","0.5715","south-florida",31,0.00303020266820101
"531","Texas-Arlington",2,4,"0.5257","141","0.5029","texas-arlington",33,0.00300909293323736
"641","Albany",7,1,"0.5201","279","0.4565","albany-ny",33,0.00300355332745152
"77","Drake",20,16,"0.5136","85","0.5422","drake",31,0.00299569174988481
"371","East Carolina",20,3,"0.5368","92","0.5376","east-carolina",31,0.00298299228420029
"83","Western Kentucky",2,14,"0.5112","162","0.4946","western-kentucky",34,0.00297813814469801
"76","George Washington",19,16,"0.5138","86","0.5419","george-washington",30,0.0029707865872602
"74","Delaware",2,13,"0.5155","172","0.4898","delaware",33,0.00296881356878588
"421","Utah State",3,1,"0.5311","167","0.4924","utah-state",30,0.00296317775648289
"103","Wake Forest",19,17,"0.4994","78","0.5458","wake-forest",31,0.00293193233165935
"137","DePaul",17,20,"0.4757","105","0.5309","depaul",32,0.00291143179940979
"64","South Dakota State",5,11,"0.5643","175","0.4889","south-dakota-state",29,0.00290353412194398
"109","Virginia Tech",19,18,"0.4951","83","0.5435","virginia-tech",32,0.00289585365346448
"115","James Madison",3,13,"0.4930","269","0.4591","james-madison",34,0.00288339233737974
"102","Illinois-Chicago",22,14,"0.4999","156","0.4961","illinois-chicago",33,0.00287645089455582
"93","Northeastern",3,3,"0.5084","207","0.4793","northeastern",33,0.00286247903902409
"98","San Diego",20,17,"0.5061","100","0.5332","san-diego",32,0.0028524948140891
"72","St. Bonaventure",20,14,"0.5173","108","0.5293","st-bonaventure",29,0.00284229397458406
"119","Penn State",16,20,"0.4901","30","0.5684","penn-state",31,0.00283456698077121
"78","UAB",21,16,"0.5130","107","0.5296","uab",32,0.00282942562882258
"130","Houston",1,3,"0.4804","302","0.4457","houston",32,0.00281737148208012
"117","Manhattan",20,17,"0.4921","144","0.5012","manhattan",32,0.00280891502006365
"351","UCF",1,2,"0.5379","122","0.5230","ucf",29,0.00280873882440067
"86","Lafayette",1,14,"0.5104","169","0.4922","lafayette",33,0.00280709276687026
